School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - HENRY CAREER & TECH EDUC BLDG,Onondaga,BOCES School,61,No,27,0,0,34,Yes,09/27/2016,61,0,No,Yes,03/01/2017,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,429000000008,6820 THOMPSON RD,SYRACUSE,NY,13211,12/08/2016,09/19/2018,"(43.065629, -76.168033)","6820 THOMPSON RD
SYRACUSE, NY 13211
(43.101131957000064, -76.09627411699995)"
BOCES No District Name,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES ALBANY CENTER BLDG E (LEAD ONLY),Albany,BOCES School,6,No,0,0,0,6,Yes,02/01/2018,3,3,Yes,Yes,03/26/2018,https://www.capitalregionboces.org/,019000000011,1015 WATERVLIET SHAKER ROAD,ALBANY,NY,12205,10/11/2018,10/11/2018,"(42.678066, -73.814233)","1015 WATERVLIET SHAKER ROAD
ALBANY, NY 12205
(42.743313529000034, -73.83741873699995)"
CROTON HARMON U F S,PIERRE VAN CORTLANDT SCHOOL,Westchester,Public School,61,No,19,0,0,42,Yes,09/24/2016,53,8,Yes,Yes,09/29/2016,www.chufsd.org,660202030002,3 GLEN PLACE,CROTON,NY,10520,06/27/2017,06/27/2017,"(41.039278, -73.805386)","3 GLEN PLACE
CROTON, NY 10520
(41.203719497000066, -73.88359610399993)"
BUFFALO CITY SCHOOLS,PS 30 FRANK A SEDITA ACADEMY,Erie,Public School,80,No,0,0,0,80,Yes,09/21/2016,79,1,Yes,Yes,10/27/2016,www.buffaloschools.org,140600010130,21 LOWELL PL,BUFFALO,NY,14213,01/20/2017,01/20/2017,"(42.888143, -78.795544)","21 LOWELL PL
BUFFALO, NY 14213
(42.90914884600005, -78.88687152099999)"
CANASTOTA CENTRAL SCHOOL,ROBERTS STREET MIDDLE SCHOOL,Madison,Public School,49,No,0,0,0,49,Yes,09/24/2016,48,1,Yes,Yes,10/13/2016,canastotacsd.org,250901060005,120 ROBERTS ST,CANASTOTA,NY,13032,11/03/2016,11/03/2016,"(42.986917, -75.720031)","120 ROBERTS ST
CANASTOTA, NY 13032
(43.08275219800004, -75.74772761899999)"
CROTON HARMON U F S,CARRIE E TOMPKINS SCHOOL,Westchester,Public School,65,No,29,0,0,35,Yes,09/24/2016,53,12,Yes,Yes,09/29/2016,www.chufsd.org,660202030001,8 GERSTEIN ST,CROTON,NY,10520,11/09/2016,06/27/2017,"(41.039278, -73.805386)","8 GERSTEIN ST
CROTON, NY 10520
(41.21130535200007, -73.87577581699998)"
DANSVILLE CENTRAL SCHOOL,ELLIS B HYDE ELEM SCHOOL,Livingston,Public School,43,No,0,0,0,0,Yes,10/14/2016,43,0,Yes,Yes,11/07/2016,www.dansvillecsd.org,241001060001,MAIN ST,DANSVILLE,NY,14437,01/04/2017,12/21/2016,"(42.763754, -77.765392)","MAIN ST
DANSVILLE, NY 14437
(42.556047773000046, -77.69103155499994)"
CHATEAUGAY CENTRAL SCHOOL,CHATEAUGAY ELEM-JR H SCHOOL,Franklin,Public School,83,No,28,0,0,55,Yes,10/28/2016,62,21,Yes,Yes,06/21/2018,http://www.chateaugaycsd.org/,160801040001,42 RIVER ST,CHATEAUGAY,NY,12920,12/30/2016,09/25/2018,"(44.705699, -74.340621)","42 RIVER ST
CHATEAUGAY, NY 12920
(44.92947389400007, -74.07990991499997)"
BOCES No District Name,EASTERN SUFFOLK BOCES WHB ACADEMIC CENTER BLDG 4 (LEAD ONLY),Suffolk,BOCES School,,No,,,,,No,,,,No,No,,,581000000022,215 OLD RIVERHEAD ROAD,WESTHAMPTON BEACH,NY,11978,,,"(40.820237, -73.119032)","215 OLD RIVERHEAD ROAD
WESTHAMPTON BEACH, NY 11978
(40.84042753700004, -72.64596829099997)"
BOCES No District Name,FRANKLIN-ESSEX HAMILTON BOCES,Franklin,BOCES School,80,No,55,0,0,25,Yes,09/19/2016,80,0,Yes,Yes,10/25/2016,http://www.fehb.org/,169000000000,23 Huskie Lane,MALONE,NY,12953,11/07/2016,11/07/2016,"(44.705699, -74.340621)","23 Huskie Lane
MALONE, NY 12953
(44.84126942600005, -74.28155269699994)"
CAMDEN CENTRAL SCHOOL,ANNSVILLE AREA SCHOOL (closed 2018; leave in for lead reporting),Oneida,Public School,57,No,0,0,0,57,Yes,09/16/2016,57,0,Yes,Yes,10/09/2016,http://www.camdenschools.org/district/business_office/public_notices___presentations/water_testing/,410601040004,9374 Main Street,TABERG,NY,13471,12/05/2016,12/05/2016,"(43.149482, -75.361773)","9374 Main Street
TABERG, NY 13471
(43.31172223500005, -75.62617400599999)"
BELLMORE UNION FREE SCHOOL,SHORE ROAD SCHOOL,Nassau,Public School,126,No,28,0,0,98,Yes,02/02/2017,126,0,Yes,Yes,12/05/2017,www.bellmoreschools.org,280207020002,2801 SHORE RD,BELLMORE,NY,11710,12/06/2017,10/22/2018,"(40.715749, -73.601185)","2801 SHORE RD
BELLMORE, NY 11710
(40.65284391600005, -73.53262527599998)"
CANASTOTA CENTRAL SCHOOL,SOUTH SIDE ELEM SCHOOL,Madison,Public School,36,No,0,0,0,36,Yes,09/24/2016,35,1,Yes,Yes,10/12/2016,canastotacsd.org,250901060006,200 HIGH ST,CANASTOTA,NY,13032,11/03/2016,11/03/2016,"(42.986917, -75.720031)","200 HIGH ST
CANASTOTA, NY 13032
(43.07417025500007, -75.74964357099998)"
COLTON PIERREPT CENT SCH,COLTON-PIERREPONT JSHS,Saint Lawrence,Public School,40,No,0,0,0,40,Yes,09/23/2016,40,0,Yes,Yes,12/31/2016,http://www.cpcs.k12.ny.us/,510501040001,4921 State Highway 56,COLTON,NY,13625,10/16/2016,01/04/2017,"(44.689468, -75.242045)","4921 State Highway 56
COLTON, NY 13625
(44.55851869000003, -74.94722748099997)"
COPENHAGEN CENTRAL SCHOOL,COPENHAGEN CENTRAS SCHOOL,Lewis,Public School,98,No,33,0,0,65,Yes,10/06/2016,98,0,Yes,Yes,01/31/2017,http://www.ccsknights.org/,230201040001,3020 MECHANIC ST,COPENHAGEN,NY,13626,10/26/2018,09/25/2018,"(43.785537, -75.446296)","3020 MECHANIC ST
COPENHAGEN, NY 13626
(43.89272262600008, -75.67750145799994)"
CAZENOVIA CENTRAL SCHOOL,BURTON STREET ELEM SCHOOL,Madison,Public School,110,No,0,0,0,110,Yes,09/21/2016,110,0,Yes,Yes,02/07/2017,cazenoviacsd.com,250201060006,37 BURTON ST,CAZENOVIA,NY,13035,10/31/2018,10/09/2018,"(42.986917, -75.720031)","37 BURTON ST
CAZENOVIA, NY 13035
(42.93448484900006, -75.84438600499993)"
BROADALBIN-PERTH CENTRAL SCHOOLS,BROADALBIN-PERTH MIDDLE SCHOOL,Fulton,Public School,54,No,0,0,0,54,Yes,10/06/2016,39,15,Yes,Yes,10/28/2016,www.bpcsd.org,171102040003,1870 CO HWY 107,AMSTERDAM,NY,12010,11/15/2016,11/15/2016,"(43.06014, -74.331296)","1870 CO HWY 107
AMSTERDAM, NY 12010
(43.01866318900005, -74.19022959099993)"
EAST SYRACUSE-MINOA CENTRAL SCHOOL,PINE GROVE MIDDLE SCHOOL,Onondaga,Public School,129,No,0,0,0,129,Yes,10/31/2017,129,0,Yes,Yes,11/13/2017,esmschools.org,420401060010,600 N. Main St.,Minoa,NY,13116,10/12/2018,10/12/2018,"(43.065629, -76.168033)","600 N. Main St.
Minoa, NY 13116
(43.08089089900005, -76.00095343899994)"
CONNETQUOT CENT SCH OF ISLIP,JOHN PEARL ELEM SCHOOL,Suffolk,Public School,36,No,31,0,0,5,Yes,05/03/2017,36,0,Yes,Yes,08/28/2017,http://www.ccsdli.org/departments/plant_and_facilities,580507060003,SMITHTOWN AVE,BOHEMIA,NY,11716,10/12/2018,10/12/2018,"(40.820237, -73.119032)","SMITHTOWN AVE
BOHEMIA, NY 11716
(40.76499835200008, -73.10807439199993)"
BALLSTON SPA CENTRAL SCHOOL,GORDON CREEK ELEMENTARY SCHOOL,Saratoga,Public School,132,No,0,0,0,132,Yes,09/19/2016,132,0,Yes,Yes,11/21/2016,www.bscsd.org,521301060003,100 WOOD RD,BALLSTON SPA,NY,12020,11/22/2016,11/22/2016,"(43.00894, -73.786779)","100 WOOD RD
BALLSTON SPA, NY 12020
(43.00167595100004, -73.86832220799994)"
CAZENOVIA CENTRAL SCHOOL,CAZENOVIA MIDDLE SCHOOL,Madison,Public School,60,No,0,0,0,60,Yes,09/23/2016,60,0,Yes,Yes,02/07/2017,cazenoviacsd.com,250201060001,31 EMORY AVE,CAZENOVIA,NY,13035,10/31/2018,10/09/2018,"(42.986917, -75.720031)","31 EMORY AVE
CAZENOVIA, NY 13035
(42.933265522000056, -75.85815149999996)"
ALTMAR-PARISH-WILLIAMSTOWN CSD,ALTMAR-PARISH-WILLIAMSTOWN ELEMENTARY SCHOOL,Oswego,Public School,117,No,0,0,0,117,Yes,09/23/2016,117,0,No,Yes,09/18/2016,www.apwschools.org,460102040007,640 COUNTY ROUTE 22,PARISH,NY,13131,09/26/2018,09/26/2018,"(43.39123, -76.31133)","640 COUNTY ROUTE 22
PARISH, NY 13131
(43.44392411500007, -76.05173669799996)"
BOCES No District Name,NASSAU BOCES ROSEMARY KENNEDY CTR LILCO HOUSE (LEAD ONLY),Nassau,BOCES School,1,No,1,0,0,0,Yes,09/24/2016,1,0,Yes,Yes,01/23/2018,www.nassauboces.org,289000000050,769 OAKFIELD AVE,WANTAGH,NY,11793,10/11/2018,01/24/2018,"(40.715749, -73.601185)","769 OAKFIELD AVE
WANTAGH, NY 11793
(40.70360644900006, -73.53105270699996)"
BROCTON CENTRAL SCHOOL DISTRICT,BROCTON ES + MS,Chautauqua,Public School,55,No,0,0,0,55,Yes,09/27/2016,55,0,Yes,Yes,11/15/2016,www.broctoncsd.org,062301040002,138 W MAIN ST,BROCTON,NY,14716,09/28/2018,09/28/2018,"(42.246904, -79.315313)","138 W MAIN ST
BROCTON, NY 14716
(42.38483134900008, -79.45280151499998)"
BUFFALO CITY SCHOOLS,PS 80 HIGHGATE HEIGHTS ELEMENTARY SCHOOL,Erie,Public School,57,No,0,0,0,57,Yes,09/23/2016,56,1,Yes,Yes,09/28/2016,www.buffaloschools.org,140600010080,600 HIGHGATE AVE,BUFFALO,NY,14215,01/20/2017,01/20/2017,"(42.888143, -78.795544)","600 HIGHGATE AVE
BUFFALO, NY 14215
(42.948209630000065, -78.80583939599995)"
BOCES No District Name,OTSEGO-DELAWARE-SCHOHARIE-GREENE BOCES NCOC (LEAD ONLY),Greene,BOCES School,36,No,0,0,0,36,Yes,09/06/2017,36,0,Yes,Yes,10/04/2017,oncboces.org,199000000018,2020 JUMP BROOK ROAD,GRAND GORGE,NY,12434,11/14/2018,11/14/2018,"(42.298326, -73.973376)","2020 JUMP BROOK ROAD
GRAND GORGE, NY 12434
(42.370289644000025, -74.50901103699994)"
ALBANY CITY SCHOOL DISTRICT,WM S HACKETT MIDDLE SCHOOL,Albany,Public School,85,No,0,0,0,85,Yes,10/08/2016,77,8,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010030,45 DELAWARE AVE,ALBANY,NY,12202,11/16/2016,12/07/2016,"(42.678066, -73.814233)","45 DELAWARE AVE
ALBANY, NY 12202
(42.65014178300004, -73.76877869299994)"
BRENTWOOD UNION FREE SCHOOL,WEST MIDDLE SCHOOL,Suffolk,Public School,58,No,26,0,0,32,Yes,02/21/2017,58,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030015,2030 UDALL RD,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","2030 UDALL RD
BRENTWOOD, NY 11717
(40.75679774200006, -73.29422131899997)"
BOCES No District Name,OSWEGO BOCES OCCUPATIONAL SPECIAL ED EAST 220 (LEAD ONLY),Oswego,BOCES School,11,No,11,0,0,0,Yes,07/01/2016,10,1,Yes,Yes,07/19/2016,www.citiboces.org,469000000015,179 COUNTY ROUTE 64,MEXICO,NY,13114,02/05/2019,02/05/2019,"(43.39123, -76.31133)","179 COUNTY ROUTE 64
MEXICO, NY 13114
(43.46014250500008, -76.25979973799997)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES WILDWOOD BLDG ADMIN/DIS LRNING (LEAD ONLY),Schuyler,BOCES School,1,No,1,0,0,0,Yes,04/18/2016,1,0,Yes,Yes,04/22/2016,www.gstboces.org,559000000038,1126 BALD HILL ROAD,HORNELL,NY,14843,08/16/2017,08/17/2017,"(42.38593, -76.872032)","1126 BALD HILL ROAD
HORNELL, NY 14843
(42.33812763000003, -77.67507173699994)"
DANSVILLE CENTRAL SCHOOL,DANSVILLE PRIMARY SCHOOL,Livingston,Public School,29,No,1,0,0,28,Yes,09/26/2016,29,0,Yes,Yes,11/07/2016,www.dansvillecsd.org,241001060004,284 MAIN ST,DANSVILLE,NY,14437,12/21/2016,10/22/2018,"(42.763754, -77.765392)","284 MAIN ST
DANSVILLE, NY 14437
(42.56882426400006, -77.70369853699998)"
CHEEKTOWAGA CENTRAL SCHOOL,CHEEKTOWAGA MIDDLE SCHOOL,Erie,Public School,102,No,0,0,0,102,Yes,09/29/2016,88,14,Yes,Yes,10/13/2016,www.cheektowagak12.org,140701060007,3600 UNION RD,CHEEKTOWAGA,NY,14225,11/09/2016,11/09/2016,"(42.888143, -78.795544)","3600 UNION RD
CHEEKTOWAGA, NY 14225
(42.91151224300006, -78.75427903699995)"
BOCES No District Name,ROCKLAND BOCES MAIN CAMPUS - BUILDING 3 (LEAD ONLY),Rockland,BOCES School,39,No,3,0,0,36,Yes,09/27/2016,39,0,Yes,Yes,10/18/2016,https://www.rocklandboces.org/public-notification-of-lead-in-water-testing-resultsremediation-plans-for-rockland-boces/,509000000003,65 PARROTT ROAD,WEST NYACK,NY,10994,10/11/2018,10/11/2018,"(41.127287, -74.017033)","65 PARROTT ROAD
WEST NYACK, NY 10994
(41.12163055800005, -73.98049827299997)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES COOPERS 6 COSMETOLOGY (LEAD ONLY),Schuyler,BOCES School,1,No,1,0,0,0,Yes,04/18/2016,1,0,Yes,Yes,04/22/2016,www.gstboces.org,559000000048,ROAD 2,PAINTED POST,NY,14870,08/16/2017,08/17/2017,"(42.38593, -76.872032)","ROAD 2
PAINTED POST, NY 14870
(42.15450000000004, -77.11633999999998)"
BOCES No District Name,ORLEANS NIAGARA BOCES NIAGARA BUILDING 3,Orleans,BOCES School,13,No,0,0,0,13,Yes,10/27/2016,13,0,Yes,Yes,12/12/2016,www.onboces.org,459000001007,4124 SAUNDERS ROAD,SANBORN,NY,14132,10/16/2018,11/22/2017,"(43.248394, -78.218438)","4124 SAUNDERS ROAD
SANBORN, NY 14132
(43.14446247800004, -78.82069916499995)"
ATTICA CENTRAL SCHOOL,ATTICA ELEM SCHOOL,Wyoming,Public School,39,No,36,0,0,0,Yes,06/24/2016,39,0,Yes,Yes,07/08/2016,http://www.atticacsd.org/files/filesystem/Lead%20in%20Drinking%20Water%20Sampling%20Plan%20April%202016.pdf,670201060002,31 PROSPECT ST,ATTICA,NY,14011,09/24/2018,11/04/2016,"(42.723641, -78.204473)","31 PROSPECT ST
ATTICA, NY 14011
(42.86562654000005, -78.27865659599996)"
BRENTWOOD UNION FREE SCHOOL,EAST ELEMENTARY SCHOOL,Suffolk,Public School,37,No,28,0,0,9,Yes,08/04/2016,37,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030002,HILLTOP DR,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","HILLTOP DR
BRENTWOOD, NY 11717
(40.77061784500006, -73.23283928899997)"
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,ELLICOTTVILLE MSHS,Cattaraugus,Public School,56,No,52,0,0,1,No,,51,1,Yes,Yes,11/18/2016,www.ellicottvillecentral.com,040901040002,5873 RT 219,ELLICOTTVILLE,NY,14731,10/11/2018,10/11/2018,"(42.224267, -78.606673)","5873 RT 219
ELLICOTTVILLE, NY 14731
(42.253067861000034, -78.64936301599994)"
BOCES No District Name,JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES ACES ADLT LRN CTR (LEAD ONLY),Jefferson,BOCES School,14,No,0,0,0,14,Yes,10/28/2016,14,0,Yes,Yes,12/27/2016,www.boces.org,229000000003,20104,WATERTOWN,NY,13601,11/01/2018,11/01/2018,"(44.019295, -75.898971)","20104
WATERTOWN, NY 13601
(43.97394000000003, -75.90909999999997)"
CARTHAGE CENTRAL SCHOOL,BLACK RIVER SCHOOL,Jefferson,Public School,148,No,92,0,0,56,Yes,10/05/2016,148,0,Yes,Yes,03/08/2017,http://www.carthagecsd.org/,222201060002,160 LERAY ST,BLACK RIVER,NY,13612,10/14/2016,09/25/2018,"(44.019295, -75.898971)","160 LERAY ST
BLACK RIVER, NY 13612
(44.01494986900008, -75.79919811599996)"
EAST MORICHES U F SCH,EAST MORICHES ELEMENTARY SCHOOL,Suffolk,Public School,16,No,0,0,0,16,Yes,12/14/2016,16,0,Yes,Yes,08/22/2017,www.emoschools.org,580234020002,523 MONTAUK HIGHWAY,EAST MORICHES,NY,11940,10/23/2018,10/23/2018,"(40.820237, -73.119032)","523 MONTAUK HIGHWAY
EAST MORICHES, NY 11940
(40.80376794700004, -72.76340315699997)"
BOCES No District Name,ONTARIO-SENECA-YATES-CAYUGA-WAYNE BOCES WILLIAMSON WAYNE BUSINESS (LEAD ONLY),Ontario,BOCES School,3,No,0,0,0,3,Yes,10/25/2016,3,0,Yes,Yes,12/30/2016,www.wflboces.org,439000000012,440 RIDGE ROAD,WILLIAMSON,NY,14589,10/12/2018,10/12/2018,"(42.894571, -77.252045)","440 RIDGE ROAD
WILLIAMSON, NY 14589
(43.22388902500006, -77.35801856699999)"
BOCES No District Name,ERIE 2 BOCES LOGUIDICE EDUCATIONAL CENTER D BLDG (LEAD ONLY),Erie,BOCES School,8,No,0,0,0,8,Yes,10/22/2016,7,1,Yes,Yes,11/16/2016,http://www.e2ccb.org/resources.cfm?subpage=1991408,149200000016,9520 FREDONIA STOCKTON ROAD,FREDONIA,NY,14063,05/18/2017,05/18/2017,"(42.888143, -78.795544)","9520 FREDONIA STOCKTON ROAD
FREDONIA, NY 14063
(42.414897531000065, -79.31267412999995)"
CHURCHVILLE CHILI CENTRAL SCHOOL,CHURCHVILLE-CHILI MIDDLE SCHOOL,Monroe,Public School,116,No,25,0,0,91,Yes,10/04/2016,105,11,No,Yes,11/17/2016,http://www.cccsd.org/Departments.cfm?subpage=22082,261501060007,139 FAIRBANKS RD,CHURCHVILLE,NY,14428,11/08/2016,11/18/2016,"(43.161748, -77.620143)","139 FAIRBANKS RD
CHURCHVILLE, NY 14428
(43.119643997000026, -77.82822901999998)"
BRENTWOOD UNION FREE SCHOOL,EAST MIDDLE SCHOOL,Suffolk,Public School,33,No,18,0,0,15,Yes,02/23/2017,33,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030020,70 HILLTOP DR,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","70 HILLTOP DR
BRENTWOOD, NY 11717
(40.782143063000035, -73.23284698099997)"
BRADFORD CENTRAL SCHOOL,BRADFORD CENTRAL SCHOOL,Steuben,Public School,62,No,0,0,0,62,Yes,09/21/2016,62,0,Yes,Yes,01/04/2017,https://bradfordcsd.org/,570401040001,2820 ROUTE 226,BRADFORD,NY,14815,11/10/2016,01/18/2017,"(42.270053, -77.324618)","2820 ROUTE 226
BRADFORD, NY 14815
(42.36688550700006, -77.09419790599998)"
BAY SHORE UNION FREE SCHOOL,BAY SHORE MIDDLE SCHOOL,Suffolk,Public School,58,No,57,0,0,1,Yes,12/21/2016,58,0,Yes,Yes,01/25/2017,http://www.bayshoreschools.org/files/filesystem/Lead%20in%20Water%20Sampling%20Test%20Results%20Web.pdf,580501030007,393 BROOK AVE,BAY SHORE,NY,11706,10/03/2018,10/03/2018,"(40.820237, -73.119032)","393 BROOK AVE
BAY SHORE, NY 11706
(40.73938767800007, -73.25613982899995)"
BEDFORD CENTRAL SCHOOL,BEDFORD HILLS ELEM SCHOOL,Westchester,Public School,55,No,0,0,0,54,Yes,11/04/2016,54,1,Yes,Yes,11/03/2016,Bcsdny.org,660102060002,123 BABBITT RD,BEDFORD HILLS,NY,10507,10/12/2018,11/07/2016,"(41.039278, -73.805386)","123 BABBITT RD
BEDFORD HILLS, NY 10507
(41.237177022000026, -73.69313852399995)"
CROTON HARMON U F S,CROTON HARMON S H S,Westchester,Public School,109,No,19,0,0,87,Yes,11/07/2016,63,46,Yes,Yes,11/07/2016,www.chufsd.org,660202030003,OLD POST RD,CROTON,NY,10520,06/27/2017,06/27/2017,"(41.039278, -73.805386)","OLD POST RD
CROTON, NY 10520
(41.21159249600004, -73.89206509299999)"
CENTRAL VALLEY SCHOOL DISTRICT,HARRY M FISHER ELEMENTARY SCHOOL,Herkimer,Public School,117,No,0,0,0,117,Yes,05/09/2017,100,17,Yes,Yes,06/02/2017,http://www.cvalleycsd.org/lead-testing/,212101040002,10 FISHER AVE,HERKIMER,NY,13407,06/08/2017,06/08/2017,"(43.070026, -74.994246)","10 FISHER AVE
HERKIMER, NY 13407
(43.00327966700007, -75.00511562099996)"
BOCES No District Name,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES BELMONT CENTER ENV LAB (LEAD ONLY),Cattaraugus,BOCES School,0,No,0,0,0,0,No,,,,No,No,,http://www.caboces.org/management/esf,049000000023,5536 COUNTY ROAD 48,BELMONT,NY,14813,11/28/2018,,"(42.224267, -78.606673)","5536 COUNTY ROAD 48
BELMONT, NY 14813
(42.24062413400003, -78.04061794599994)"
DEPOSIT CENTRAL SCHOOL DISTRICT,DEPOSIT ES,Broome,Public School,110,No,0,0,0,110,Yes,09/21/2016,110,0,Yes,Yes,12/14/2016,www.depositcsd.org,031301040002,171 SECOND ST,DEPOSIT,NY,13754,10/25/2016,10/15/2018,"(42.122015, -75.933191)","171 SECOND ST
DEPOSIT, NY 13754
(42.06550878500008, -75.41901937199998)"
CAMDEN CENTRAL SCHOOL,CAMDEN S H S,Oneida,Public School,219,No,0,0,0,219,Yes,10/18/2016,192,27,Yes,Yes,01/03/2017,http://www.camdenschools.org/district/business_office/public_notices___presentations/water_testing/,410601040006,55 OSWEGO ST,CAMDEN,NY,13316,11/02/2018,01/06/2017,"(43.149482, -75.361773)","55 OSWEGO ST
CAMDEN, NY 13316
(43.34525297600004, -75.75693223999997)"
BRENTWOOD UNION FREE SCHOOL,NORTH MIDDLE SCHOOL,Suffolk,Public School,28,No,28,0,0,0,Yes,09/01/2016,28,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030016,WICKS RD,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","WICKS RD
BRENTWOOD, NY 11717
(40.793578516000025, -73.26600406899996)"
BOCES No District Name,MONROE 2 ORLEANS BOCES BUILDING 1 NORTH (LEAD ONLY),Monroe,BOCES School,155,No,155,0,0,0,Yes,04/04/2016,,,No,No,,www.monroe2boces.org,269200000001,3589 BIG RIDGE ROAD,SPENCERPORT,NY,14559,10/08/2018,,"(43.161748, -77.620143)","3589 BIG RIDGE ROAD
SPENCERPORT, NY 14559
(43.19508954100007, -77.79019156799995)"
ALFRED ALMOND CENTRAL SCHOOL DISTRICT,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL (and ES for lead reporting),Allegany,Public School,87,No,0,0,0,87,Yes,09/19/2016,87,0,Yes,Yes,10/17/2016,AACS.wnyric.org,020101040002,6795 RT 21,ALMOND,NY,14804,10/27/2016,10/27/2016,"(42.226801, -78.020567)","6795 RT 21
ALMOND, NY 14804
(42.29453934700007, -77.74872500099997)"
ALBANY CITY SCHOOL DISTRICT,P S 19,Albany,Public School,54,No,0,0,0,54,Yes,09/24/2016,54,0,No,Yes,11/09/2016,http://www.albanyschools.com/,010100010019,369 NEW SCOTLAND AVENUE,ALBANY,NY,12208,11/16/2016,11/16/2016,"(42.678066, -73.814233)","369 NEW SCOTLAND AVENUE
ALBANY, NY 12208
(42.65363402300005, -73.79220225499995)"
BUFFALO CITY SCHOOLS,PS 94 WEST HERTEL ACADEMY,Erie,Public School,111,No,0,0,0,111,Yes,09/28/2016,105,6,Yes,Yes,10/05/2016,www.buffaloschools.org,140600010118,489 HERTEL AVE,BUFFALO,NY,14207,01/20/2017,01/20/2017,"(42.888143, -78.795544)","489 HERTEL AVE
BUFFALO, NY 14207
(42.946524013000044, -78.88983402799994)"
BAY SHORE UNION FREE SCHOOL,FIFTH AVENUE SCHOOL,Suffolk,Public School,36,No,36,0,0,0,Yes,06/16/2016,36,0,Yes,Yes,09/21/2016,http://www.bayshoreschools.org/files/filesystem/Lead%20in%20Water%20Sampling%20Test%20Results%20Web.pdf,580501030004,217 FIFTH AVE,BAY SHORE,NY,11706,10/03/2018,10/03/2018,"(40.820237, -73.119032)","217 FIFTH AVE
BAY SHORE, NY 11706
(40.730722479000065, -73.26112029399997)"
CANAJOHARIE CENTRAL SCHOOL,CANAJOHARIE S H S,Montgomery,Public School,43,No,0,0,0,43,Yes,09/17/2018,43,0,Yes,Yes,09/25/2018,www.canajoharieschools.org,270301040002,136 SCHOLASTIC WAY,CANAJOHARIE,NY,13317,10/09/2018,10/09/2018,"(42.933637, -74.341972)","136 SCHOLASTIC WAY
CANAJOHARIE, NY 13317
(42.896481133000066, -74.56170987999997)"
BOCES No District Name,WESTCHESTER BOCES RYE LAKE BUILDING E (LEAD ONLY),Westchester,BOCES School,0,No,0,0,0,0,Yes,04/16/2016,0,0,Yes,Yes,04/20/2016,http://www.swboces.org/operations_and_maintenance,669000001019,1606 OLD ORCHARD STREET,WHITE PLAINS,NY,10604,10/10/2018,10/10/2018,"(41.039278, -73.805386)","1606 OLD ORCHARD STREET
WHITE PLAINS, NY 10604
(41.08081694500004, -73.75161007499997)"
EAST MEADOW UNION FREE SCHOOL,EAST MEADOW H S,Nassau,Public School,49,No,26,0,0,23,Yes,11/03/2017,49,0,Yes,Yes,11/10/2017,eastmeadow.k12.ny.us,280203030011,101 CARMAN AVE,EAST MEADOW,NY,11554,10/01/2018,10/01/2018,"(40.715749, -73.601185)","101 CARMAN AVE
EAST MEADOW, NY 11554
(40.727449654000054, -73.55624463399994)"
EASTCHESTER UNION FREE SCHOOL,EASTCHESTER J H S,Westchester,Public School,46,No,27,0,0,0,Yes,05/26/2016,28,19,Yes,Yes,06/30/2016,www.eastchester.k12.ny.us,660301030005,550 WHITE PLAINS RD,EASTCHESTER,NY,10707,11/14/2016,11/14/2016,"(41.039278, -73.805386)","550 WHITE PLAINS RD
EASTCHESTER, NY 10707
(40.96110745100003, -73.81131052799998)"
IROQUOIS CENTRAL SCHOOL,IROQUOIS MS,Erie,Public School,96,No,0,0,0,96,Yes,09/28/2016,93,3,Yes,Yes,10/18/2016,http://www.iroquoiscsd.org/Page/7370,141301060005,BOX 32 GIRDLE RD,ELMA,NY,14059,11/10/2016,11/10/2016,"(42.888143, -78.795544)","BOX 32 GIRDLE RD
ELMA, NY 14059
(42.83049504500008, -78.60600301599999)"
